"ORSEE_code","trial_id","subject_nr","subject_parity","age","gender","GEB.est","svs_biospheric","svs_altruistic","svs_egoistic","svs_hedonic","EU_ETS","vege_Q1","vege_Q2","vege_Q3","offer_resp_time","trial_order","carbon","money","proenv_decision","decision_diff_resp","DT_Carbon","DT_Money","DT_Total","Rel_DT_Carbon","first_fix_Carbon","last_fix_Carbon","FixCount_Carbon","FixCount_Money","FixCount_Total","Rel_FixCount_Carbon","FixDuration_Carbon","FixDuration_Money","Rel_FixDuration_Carbon","MeanFixDuration","nb_transition"
7764,1,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,2983,15,20,8,0,2,1963.993,333.005,2297,0.86,0,1,5,2,7,0.71,392.7986,166.5025,0.7,328.142571428571,1
7764,10,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,2408,22,50,17,1,1,1148.006,549.005,1697.01,0.68,0,0,4,2,6,0.67,287.0015,274.5025,0.51,282.835166666667,2
7764,11,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,4381,1,50,20,0,2,698.995000000001,2281.009,2980,0.23,0,0,3,10,13,0.23,232.998333333334,228.1009,0.51,229.231076923077,6
7764,12,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,6451,25,50,23,0,2,731.994,3759,4490.99,0.16,0,0,2,11,13,0.15,365.997,341.727272727273,0.52,345.461076923077,4
7764,13,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,3113,28,65,17,1,2,861.976,932.992,1794.97,0.48,0,0,5,5,10,0.5,172.3952,186.5984,0.48,179.4968,6
7764,14,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,3617,35,65,20,1,2,2113.999,666.01,2780.01,0.76,0,0,6,4,10,0.6,352.333166666667,166.5025,0.68,278.0009,4
7764,15,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,2736,21,65,23,0,2,1031.015,730.995,1762.01,0.59,0,1,4,4,8,0.5,257.75375,182.74875,0.59,220.25125,5
7764,16,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,1514,10,80,20,1,1,267.008,599.002,866.01,0.31,0,0,2,2,4,0.5,133.504,299.501,0.31,216.5025,2
7764,17,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,1632,4,80,23,1,1,183.002,682.009,865.01,0.21,0,0,1,3,4,0.25,183.002,227.336333333333,0.45,216.25275,2
7764,18,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,1321,13,95,23,1,1,216,415.999,632,0.34,0,0,1,3,4,0.25,216,138.666333333333,0.61,157.99975,2
7764,19,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,2150,17,35,5,1,1,416,750.004,1166,0.36,0,0,1,3,4,0.25,416,250.001333333333,0.62,291.501,2
7764,2,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,2307,34,20,11,0,2,880.997,631.988,1512.99,0.58,0,0,3,3,6,0.5,293.665666666667,210.662666666667,0.58,252.164166666667,4
7764,20,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,1784,33,50,5,1,1,782.004,434.01,1216.01,0.64,0,0,2,3,5,0.4,391.002,144.67,0.73,243.2028,2
7764,21,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,1755,12,50,8,1,1,515.008,366.003,881.01,0.58,0,1,2,2,4,0.5,257.504,183.0015,0.58,220.25275,1
7764,22,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,1845,20,65,5,1,1,331.993,1064.999,1396.99,0.24,0,0,1,3,4,0.25,331.993,354.999666666667,0.48,349.248,2
7764,23,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,2962,5,65,8,1,1,150.003,2095.997,2246,0.07,0,0,1,7,8,0.12,150.003,299.428142857143,0.33,280.75,2
7764,24,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,1681,29,65,11,1,1,383.002,616,999,0.38,0,0,1,2,3,0.33,383.002,308,0.55,333.000666666667,2
7764,25,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,1171,14,80,5,1,1,249.011,299.007,548.02,0.45,0,0,2,2,4,0.5,124.5055,149.5035,0.45,137.0045,2
7764,26,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,1562,36,80,8,1,1,566.004,316.992,883,0.64,0,0,2,2,4,0.5,283.002,158.496,0.64,220.749,2
7764,27,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,2264,9,80,11,1,1,232.999,946.996,1179.99,0.2,0,0,1,4,5,0.2,232.999,236.749,0.5,235.999,2
7764,28,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,3303,24,80,14,1,1,981.005,1248.983,2229.99,0.44,0,0,4,6,10,0.4,245.25125,208.163833333333,0.54,222.9988,6
7764,29,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,1874,2,95,8,1,1,0,1131.008,1131.01,0,0,0,0,5,5,0,0,226.2016,0,226.2016,0
7764,3,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,3632,7,20,14,0,2,368.013,1866.01,2234.02,0.16,0,0,2,6,8,0.25,184.0065,311.001666666667,0.37,279.252875,4
7764,30,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,1153,26,95,11,1,1,116.007,415.002,531.01,0.22,0,0,1,2,3,0.33,116.007,207.501,0.36,177.003,2
7764,31,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,1402,18,95,14,1,1,248.998,681.011,930.01,0.27,0,0,1,3,4,0.25,248.998,227.003666666667,0.52,232.50225,2
7764,32,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,1603,31,95,17,1,1,200,466.008,666.01,0.3,0,0,1,3,4,0.25,200,155.336,0.56,166.502,2
7764,33,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,1681,8,110,11,1,1,116.006,946.994,1063,0.11,0,0,1,4,5,0.2,116.006,236.7485,0.33,212.6,2
7764,34,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,2279,23,110,14,1,1,432.999,732.993,1165.99,0.37,0,0,2,4,6,0.33,216.4995,183.24825,0.54,194.332,4
7764,35,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,1840,6,110,17,1,1,150.003,881.022,1031.02,0.15,0,0,1,6,7,0.14,150.003,146.837,0.51,147.289285714286,2
7764,36,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,1336,27,110,20,1,1,231.987,600.001,831.99,0.28,0,0,1,4,5,0.2,231.987,150.00025,0.61,166.3976,2
7764,4,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,2143,19,20,17,0,1,497.996,547.993,1045.99,0.48,0,1,2,2,4,0.5,248.998,273.9965,0.48,261.49725,3
7764,5,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,3673,3,35,11,0,2,448.014,1961.01,2409.02,0.19,0,0,3,7,10,0.3,149.338,280.144285714286,0.35,240.9024,4
7764,6,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,1354,30,35,14,0,2,399.002,315.995,715,0.56,0,0,1,2,3,0.33,399.002,157.9975,0.72,238.332333333333,2
7764,7,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,1619,16,35,17,0,2,317.005,399.999,717,0.44,0,0,1,2,3,0.33,317.005,199.9995,0.61,239.001333333333,2
7764,8,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,1587,32,35,20,0,2,482.01,397.99,880,0.55,0,0,2,2,4,0.5,241.005,198.995,0.55,220,2
7764,9,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,4787,11,50,14,0,2,715.008,2647.989,3363,0.21,0,0,3,7,10,0.3,238.336,378.284142857143,0.39,336.2997,6
